Domaine,Zone,Produit,Année,Alimentation pour touristes,Aliments pour animaux,Autres utilisations (non alimentaire),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Résidus,Semences,Traitement,Variation de stock
Nouveaux Bilans Alimentaire,Afghanistan,Viande de Volailles,2017,,,,5.0,1.53,0.33,0.54,57.0,,29.0,55.0,2.0,28.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Afrique du Sud,Viande de Volailles,2017,0.0,,,143.0,35.69,9.25,14.11,2118.0,63.0,514.0,2035.0,83.0,1667.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Albanie,Viande de Volailles,2017,,,,85.0,16.36,6.45,6.26,47.0,0.0,38.0,47.0,,13.0,0.0,,,4.0
Nouveaux Bilans Alimentaire,Algérie,Viande de Volailles,2017,0.0,,,22.0,6.38,1.5,1.97,277.0,0.0,2.0,264.0,13.0,275.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Allemagne,Viande de Volailles,2017,,,,71.0,19.47,4.16,7.96,1739.0,646.0,842.0,1609.0,,1514.0,-38.0,,167.0,-29.0
Nouveaux Bilans Alimentaire,Angola,Viande de Volailles,2017,0.0,,,35.0,10.56,2.22,3.6,319.0,0.0,277.0,315.0,2.0,42.0,0.0,,2.0,-0.0
Nouveaux Bilans Alimentaire,Antigua-et-Barbuda,Viande de Volailles,2017,2.0,,0.0,233.0,54.1,17.55,17.77,7.0,0.0,7.0,5.0,,0.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Arabie saoudite,Viande de Volailles,2017,,,,151.0,43.36,9.38,15.57,1435.0,10.0,722.0,1435.0,,616.0,0.0,,,-108.0
Nouveaux Bilans Alimentaire,Argentine,Viande de Volailles,2017,,,,182.0,42.24,13.84,13.53,1962.0,207.0,8.0,1856.0,106.0,2161.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Arménie,Viande de Volailles,2017,,,,54.0,16.06,3.39,5.44,47.0,0.0,35.0,47.0,0.0,11.0,0.0,,,-2.0
Nouveaux Bilans Alimentaire,Australie,Viande de Volailles,2017,,,,192.0,47.65,13.45,16.6,1171.0,42.0,16.0,1171.0,,1269.0,-0.0,,,71.0
Nouveaux Bilans Alimentaire,Autriche,Viande de Volailles,2017,,,,65.0,18.2,3.66,7.49,173.0,78.0,110.0,160.0,,148.0,-0.0,,12.0,8.0
Nouveaux Bilans Alimentaire,Azerbaïdjan,Viande de Volailles,2017,,,,44.0,13.11,2.77,4.45,129.0,0.0,27.0,129.0,,104.0,0.0,,,2.0
Nouveaux Bilans Alimentaire,Bahamas,Viande de Volailles,2017,0.0,,9.0,182.0,43.17,13.33,14.61,26.0,,24.0,16.0,,6.0,0.0,,,4.0
Nouveaux Bilans Alimentaire,Bangladesh,Viande de Volailles,2017,0.0,,,7.0,1.5,0.51,0.47,250.0,,0.0,240.0,10.0,249.0,,,,-0.0
Nouveaux Bilans Alimentaire,Barbade,Viande de Volailles,2017,3.0,,0.0,199.0,46.78,14.85,15.33,17.0,0.0,2.0,13.0,,15.0,-0.0,,,0.0
Nouveaux Bilans Alimentaire,Belgique,Viande de Volailles,2017,,,,44.0,12.65,2.71,4.57,152.0,656.0,338.0,144.0,0.0,463.0,-25.0,,33.0,-6.0
Nouveaux Bilans Alimentaire,Belize,Viande de Volailles,2017,1.0,,8.0,110.0,25.69,8.37,8.26,19.0,0.0,0.0,10.0,,20.0,0.0,,,1.0
Nouveaux Bilans Alimentaire,Bolivie (État plurinational de),Viande de Volailles,2017,0.0,,,155.0,36.0,11.91,11.43,429.0,1.0,1.0,403.0,27.0,533.0,0.0,,,103.0
Nouveaux Bilans Alimentaire,Bosnie-Herzégovine,Viande de Volailles,2017,,,,56.0,16.7,3.51,5.66,55.0,8.0,10.0,56.0,,61.0,-1.0,,0.0,8.0
Nouveaux Bilans Alimentaire,Botswana,Viande de Volailles,2017,-0.0,,,12.0,3.39,0.71,1.19,7.0,0.0,3.0,7.0,,5.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Brésil,Viande de Volailles,2017,,,,204.0,48.03,15.34,15.68,9982.0,4223.0,3.0,9982.0,,14201.0,-0.0,,,0.0
Nouveaux Bilans Alimentaire,Bulgarie,Viande de Volailles,2017,,,,81.0,22.06,4.9,8.74,157.0,45.0,108.0,157.0,,107.0,0.0,,1.0,13.0
Nouveaux Bilans Alimentaire,Burkina Faso,Viande de Volailles,2017,0.0,,,8.0,2.27,0.48,0.77,46.0,,0.0,44.0,2.0,46.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Bélarus,Viande de Volailles,2017,,,,95.0,27.98,6.06,9.41,265.0,152.0,21.0,264.0,,463.0,0.0,,1.0,67.0
Nouveaux Bilans Alimentaire,Bénin,Viande de Volailles,2017,,,,37.0,14.4,1.71,4.98,161.0,0.0,123.0,161.0,,18.0,0.0,,,-20.0
Nouveaux Bilans Alimentaire,Cabo Verde,Viande de Volailles,2017,0.0,,,62.0,17.62,3.75,6.52,10.0,,12.0,9.0,,1.0,0.0,,,4.0
Nouveaux Bilans Alimentaire,Cambodge,Viande de Volailles,2017,0.0,,,11.0,2.34,0.85,0.74,38.0,,10.0,37.0,1.0,28.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Cameroun,Viande de Volailles,2017,0.0,,,11.0,3.16,0.67,1.07,82.0,0.0,0.0,78.0,4.0,81.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Canada,Viande de Volailles,2017,,,,154.0,39.02,10.54,13.86,1433.0,163.0,182.0,1433.0,,1417.0,-0.0,,,3.0
Nouveaux Bilans Alimentaire,Chili,Viande de Volailles,2017,,,,153.0,36.36,11.22,12.21,672.0,115.0,155.0,672.0,,712.0,0.0,,,80.0
Nouveaux Bilans Alimentaire,Chine - RAS de Hong-Kong,Viande de Volailles,2017,-18.0,,32.0,210.0,53.51,12.7,22.26,280.0,663.0,907.0,391.0,,24.0,-125.0,,,-12.0
Nouveaux Bilans Alimentaire,Chine - RAS de Macao,Viande de Volailles,2017,-3.0,,0.0,142.0,34.47,10.08,11.9,19.0,0.0,23.0,21.0,0.0,3.0,0.0,,,8.0
Nouveaux Bilans Alimentaire,"Chine, Taiwan Province de",Viande de Volailles,2017,,,0.0,126.0,33.17,8.7,11.01,785.0,8.0,161.0,785.0,,652.0,-0.0,,,20.0
Nouveaux Bilans Alimentaire,"Chine, continentale",Viande de Volailles,2017,0.0,,,59.0,12.33,4.67,3.96,18161.0,576.0,452.0,17518.0,643.0,18236.0,-1.0,,1.0,-50.0
Nouveaux Bilans Alimentaire,Chypre,Viande de Volailles,2017,2.0,,5.0,91.0,25.08,5.54,9.58,38.0,1.0,14.0,30.0,1.0,25.0,-0.0,,0.0,0.0
Nouveaux Bilans Alimentaire,Colombie,Viande de Volailles,2017,0.0,,,111.0,31.99,7.69,9.57,1643.0,2.0,78.0,1565.0,78.0,1564.0,0.0,,,-4.0
Nouveaux Bilans Alimentaire,Congo,Viande de Volailles,2017,0.0,,,72.0,21.53,4.47,7.45,110.0,0.0,104.0,110.0,0.0,7.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Costa Rica,Viande de Volailles,2017,3.0,,,92.0,26.52,6.36,7.93,134.0,3.0,17.0,131.0,,133.0,0.0,,,13.0
Nouveaux Bilans Alimentaire,Croatie,Viande de Volailles,2017,,,,37.0,10.77,2.2,4.06,45.0,17.0,24.0,45.0,,61.0,0.0,,0.0,22.0
Nouveaux Bilans Alimentaire,Cuba,Viande de Volailles,2017,3.0,,70.0,82.0,23.72,5.7,7.12,342.0,,312.0,269.0,,29.0,0.0,,,-1.0
Nouveaux Bilans Alimentaire,Côte d'Ivoire,Viande de Volailles,2017,,,,8.0,2.53,0.53,0.86,65.0,0.0,7.0,62.0,3.0,58.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Danemark,Viande de Volailles,2017,,,,112.0,28.98,6.34,12.97,167.0,139.0,133.0,166.0,,173.0,0.0,,1.0,0.0
Nouveaux Bilans Alimentaire,Djibouti,Viande de Volailles,2017,,,,9.0,2.68,0.59,0.92,3.0,,3.0,3.0,,,0.0,,,0.0
Nouveaux Bilans Alimentaire,Dominique,Viande de Volailles,2017,2.0,,0.0,150.0,35.19,11.26,11.52,4.0,0.0,4.0,3.0,,0.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,El Salvador,Viande de Volailles,2017,,,,71.0,20.43,4.9,6.25,131.0,2.0,16.0,131.0,,136.0,0.0,,,20.0
Nouveaux Bilans Alimentaire,Espagne,Viande de Volailles,2017,,,,105.0,30.39,5.72,12.47,1497.0,212.0,205.0,1418.0,66.0,1515.0,-0.0,,13.0,11.0
Nouveaux Bilans Alimentaire,Estonie,Viande de Volailles,2017,,,,86.0,21.26,6.03,7.27,29.0,11.0,21.0,28.0,1.0,20.0,0.0,,,2.0
Nouveaux Bilans Alimentaire,Eswatini,Viande de Volailles,2017,,,,22.0,6.46,1.37,2.23,7.0,0.0,2.0,7.0,,6.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Fidji,Viande de Volailles,2017,1.0,,0.0,97.0,28.02,6.26,9.44,26.0,0.0,3.0,25.0,,23.0,-0.0,,,1.0
Nouveaux Bilans Alimentaire,Finlande,Viande de Volailles,2017,,,,68.0,18.76,3.76,7.87,111.0,12.0,16.0,103.0,,129.0,-0.0,,8.0,22.0
Nouveaux Bilans Alimentaire,France,Viande de Volailles,2017,,,,92.0,22.9,6.03,8.95,1573.0,501.0,506.0,1485.0,,1750.0,-2.0,,89.0,183.0
Nouveaux Bilans Alimentaire,Fédération de Russie,Viande de Volailles,2017,,,,104.0,30.98,6.55,10.44,4556.0,115.0,226.0,4509.0,,4444.0,-7.0,,54.0,-1.0
Nouveaux Bilans Alimentaire,Gabon,Viande de Volailles,2017,,,18.0,99.0,29.33,5.98,10.59,78.0,0.0,76.0,61.0,0.0,4.0,0.0,,,2.0
Nouveaux Bilans Alimentaire,Gambie,Viande de Volailles,2017,,,,12.0,3.53,0.75,1.24,8.0,,16.0,8.0,,2.0,0.0,,,10.0
Nouveaux Bilans Alimentaire,Ghana,Viande de Volailles,2017,,,,16.0,7.24,0.73,2.26,211.0,0.0,151.0,211.0,,60.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Grenade,Viande de Volailles,2017,3.0,,0.0,192.0,45.7,13.99,15.5,8.0,,7.0,5.0,,1.0,-0.0,,,-0.0
Nouveaux Bilans Alimentaire,Grèce,Viande de Volailles,2017,,,15.0,53.0,15.32,2.89,6.32,178.0,29.0,79.0,162.0,,246.0,0.0,,1.0,118.0
Nouveaux Bilans Alimentaire,Guatemala,Viande de Volailles,2017,0.0,,,71.0,20.58,4.95,6.11,357.0,7.0,129.0,348.0,12.0,235.0,-3.0,,0.0,-0.0
Nouveaux Bilans Alimentaire,Guinée,Viande de Volailles,2017,0.0,,,14.0,4.08,0.84,1.42,50.0,,37.0,49.0,1.0,13.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Guinée-Bissau,Viande de Volailles,2017,,,,7.0,2.16,0.46,0.74,4.0,,4.0,4.0,,3.0,0.0,,,3.0
Nouveaux Bilans Alimentaire,Guyana,Viande de Volailles,2017,,,2.0,165.0,38.34,12.55,12.33,32.0,0.0,0.0,30.0,,31.0,0.0,,,-1.0
Nouveaux Bilans Alimentaire,Géorgie,Viande de Volailles,2017,,,,51.0,15.27,3.21,5.19,61.0,5.0,51.0,61.0,,22.0,-0.0,,,6.0
Nouveaux Bilans Alimentaire,Haïti,Viande de Volailles,2017,0.0,,,31.0,8.91,2.11,2.75,98.0,,89.0,98.0,0.0,9.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Honduras,Viande de Volailles,2017,0.0,,,93.0,21.73,7.11,6.98,205.0,1.0,12.0,205.0,,193.0,0.0,,,-1.0
Nouveaux Bilans Alimentaire,Hongrie,Viande de Volailles,2017,,,,104.0,25.27,6.93,9.8,266.0,210.0,58.0,246.0,18.0,493.0,-13.0,,16.0,74.0
Nouveaux Bilans Alimentaire,Inde,Viande de Volailles,2017,0.0,,,7.0,2.22,0.47,0.75,3661.0,4.0,0.0,2965.0,695.0,3545.0,0.0,,,-119.0
Nouveaux Bilans Alimentaire,Indonésie,Viande de Volailles,2017,0.0,,,25.0,7.19,1.61,2.42,2323.0,0.0,1.0,1904.0,113.0,2301.0,,,306.0,-21.0
Nouveaux Bilans Alimentaire,Iran (République islamique d'),Viande de Volailles,2017,,,,96.0,27.52,5.99,9.8,2220.0,45.0,6.0,2220.0,,2174.0,-0.0,,,-86.0
Nouveaux Bilans Alimentaire,Iraq,Viande de Volailles,2017,0.0,,,52.0,14.95,3.23,5.37,566.0,0.0,470.0,561.0,5.0,96.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Irlande,Viande de Volailles,2017,,,,100.0,25.82,5.66,11.6,128.0,93.0,99.0,123.0,,110.0,-11.0,,16.0,-12.0
Nouveaux Bilans Alimentaire,Islande,Viande de Volailles,2017,-0.0,,,104.0,29.95,5.7,12.33,10.0,0.0,2.0,10.0,,10.0,0.0,,,1.0
Nouveaux Bilans Alimentaire,Israël,Viande de Volailles,2017,,,50.0,234.0,67.39,12.83,27.87,636.0,3.0,0.0,556.0,29.0,629.0,0.0,,1.0,-10.0
Nouveaux Bilans Alimentaire,Italie,Viande de Volailles,2017,,,,65.0,18.88,3.48,7.83,1173.0,183.0,97.0,1146.0,,1315.0,0.0,,27.0,56.0
Nouveaux Bilans Alimentaire,Jamaïque,Viande de Volailles,2017,2.0,,,178.0,51.1,12.18,15.71,152.0,1.0,31.0,149.0,,128.0,-0.0,,,7.0
Nouveaux Bilans Alimentaire,Japon,Viande de Volailles,2017,,,,67.0,18.5,3.95,7.24,2415.0,10.0,1069.0,2359.0,56.0,2215.0,0.0,,,859.0
Nouveaux Bilans Alimentaire,Jordanie,Viande de Volailles,2017,,,,98.0,28.07,6.04,10.1,275.0,10.0,64.0,275.0,0.0,210.0,0.0,,,-10.0
Nouveaux Bilans Alimentaire,Kazakhstan,Viande de Volailles,2017,,,2.0,61.0,18.27,3.86,6.18,331.0,6.0,174.0,330.0,,171.0,-2.0,,,8.0
Nouveaux Bilans Alimentaire,Kenya,Viande de Volailles,2017,0.0,,,2.0,0.67,0.14,0.23,35.0,0.0,0.0,34.0,2.0,35.0,0.0,,,-0.0
Nouveaux Bilans Alimentaire,Kirghizistan,Viande de Volailles,2017,,,13.0,11.0,3.1,0.73,1.08,32.0,0.0,25.0,19.0,,7.0,0.0,,,-1.0
Nouveaux Bilans Alimentaire,Kiribati,Viande de Volailles,2017,-0.0,,,63.0,17.98,3.81,6.65,2.0,,1.0,2.0,,1.0,0.0,,,0.0
Nouveaux Bilans Alimentaire,Koweït,Viande de Volailles,2017,,,1.0,156.0,46.25,9.79,15.87,189.0,4.0,137.0,188.0,,56.0,-0.0,,,0.0
Nouveaux Bilans Alimentaire,Lesotho,Viande de Volailles,2017,,,,27.0,7.93,1.71,2.72,17.0,0.0,15.0,17.0,,2.0,0.0,,,1.0
